customer_id,customer_type,age_group,income_range,visit_frequency,avg_spend_customer,price_sensitivity_score,time_slot,day_of_week,is_weekend,total_orders_hour,demand_level,items_ordered,order_value,discount_applied,final_price,discount_purchase_intent,peak_price_tolerance,time_flexibility
1000,Budget,35-44,<25k,1,220,4,Afternoon,Tuesday,0,38,Medium,"Sandwich,Pasta,Coke",530,16,445.2,Definitely,No,1
1001,Regular,25-34,25k-50k,3,657,4,Evening,Monday,0,18,Low,"Pasta,Burger,Pizza",585,25,438.75,Definitely,No,1
1002,Budget,25-34,<25k,2,288,4,Afternoon,Sunday,1,29,Medium,Sandwich,766,12,674.08,Definitely,No,1
1003,Premium,18-24,50k-100k,7,1446,1,Afternoon,Friday,0,26,Medium,"Coke,Fries",587,11,522.43,No,Yes,0
1004,Premium,25-34,100k+,5,1145,2,Morning,Friday,0,8,Low,Pasta,654,34,431.64,Maybe,Maybe,1
1005,Regular,35-44,50k-100k,4,480,4,Afternoon,Monday,0,27,Medium,Pasta,201,13,174.87,Definitely,No,1
1006,Regular,25-34,50k-100k,3,590,3,Night,Tuesday,0,16,Low,Pasta,469,21,370.51,Maybe,Maybe,1
1007,Regular,35-44,25k-50k,6,589,3,Evening,Thursday,0,17,Low,Pasta,252,37,158.76,Maybe,Maybe,0
1008,Regular,18-24,25k-50k,3,414,2,Afternoon,Thursday,0,26,Medium,"Pizza,Burger,Coke",328,18,268.96,Maybe,Maybe,1
1009,Budget,35-44,25k-50k,3,280,4,Evening,Friday,0,7,Low,"Fries,Burger",578,20,462.4,Definitely,No,1
1010,Budget,18-24,<25k,3,271,5,Evening,Sunday,1,50,High,Fries,606,6,569.64,Definitely,No,1
1011,Regular,25-34,25k-50k,5,434,4,Evening,Wednesday,0,9,Low,"Coke,Sandwich",661,34,436.26,Definitely,No,1
1012,Premium,35-44,50k-100k,7,1192,2,Evening,Sunday,1,75,High,"Pasta,Pizza,Burger",660,9,600.6,Maybe,Maybe,1
1013,Budget,18-24,25k-50k,1,295,4,Evening,Wednesday,0,9,Low,Burger,370,26,273.8,Definitely,No,1
1014,Budget,35-44,<25k,3,285,5,Night,Monday,0,14,Low,"Burger,Pizza,Pasta",773,32,525.64,Definitely,No,1
1015,Regular,25-34,50k-100k,5,527,3,Night,Monday,0,16,Low,Fries,424,26,313.76,Maybe,Maybe,1
1016,Budget,18-24,<25k,1,202,5,Morning,Tuesday,0,12,Low,"Coke,Fries,Pasta",517,28,372.24,Definitely,No,1
1017,Budget,35-44,<25k,3,317,5,Afternoon,Monday,0,28,Medium,Fries,312,13,271.44,Definitely,No,1
1018,Budget,25-34,25k-50k,3,329,5,Evening,Thursday,0,9,Low,"Pasta,Sandwich",280,36,179.2,Definitely,No,1
1019,Budget,25-34,25k-50k,3,328,5,Afternoon,Sunday,1,21,Medium,"Sandwich,Coke",615,14,528.9,Definitely,No,1
1020,Regular,35-44,25k-50k,3,654,4,Night,Monday,0,9,Low,Burger,397,39,242.17,Definitely,No,1
1021,Budget,18-24,<25k,1,323,5,Evening,Thursday,0,17,Low,"Coke,Sandwich",602,22,469.56,Definitely,No,1
1022,Regular,35-44,25k-50k,6,527,4,Evening,Monday,0,12,Low,Sandwich,672,20,537.6,Definitely,No,1
1023,Budget,25-34,<25k,3,206,5,Evening,Monday,0,14,Low,"Pizza,Coke",771,35,501.15,Definitely,No,1
1024,Budget,25-34,<25k,1,236,5,Night,Monday,0,11,Low,Fries,432,28,311.04,Definitely,No,1
1025,Budget,35-44,25k-50k,2,319,5,Night,Saturday,1,8,Low,Sandwich,619,30,433.3,Definitely,No,1
1026,Premium,35-44,100k+,5,898,2,Night,Tuesday,0,6,Low,"Pizza,Burger",362,33,242.54,Maybe,Maybe,1
1027,Regular,18-24,25k-50k,4,676,2,Afternoon,Tuesday,0,27,Medium,"Sandwich,Pasta",600,16,504.0,Maybe,Maybe,0
1028,Budget,35-44,25k-50k,3,318,5,Afternoon,Monday,0,25,Medium,Fries,564,15,479.4,Definitely,No,1
1029,Regular,35-44,50k-100k,4,676,4,Evening,Tuesday,0,16,Low,Fries,680,34,448.8,Definitely,No,1
1030,Budget,35-44,<25k,3,391,5,Evening,Tuesday,0,5,Low,Pasta,419,31,289.11,Definitely,No,1
1031,Regular,25-34,50k-100k,5,779,2,Morning,Sunday,1,12,Low,Sandwich,380,36,243.2,Maybe,Maybe,1
1032,Regular,35-44,50k-100k,3,560,2,Evening,Tuesday,0,6,Low,"Fries,Coke",765,29,543.15,Maybe,Maybe,0
1033,Regular,25-34,50k-100k,6,741,3,Evening,Thursday,0,19,Low,"Pasta,Pizza",303,29,215.13,Maybe,Maybe,1
